appearance_id,capture_date,bee_number,assigned_tag,tag_type,tag_id,status,image_count,angles,declared_tags,decoder_statuses,review_flags,source_assigned_tag,source_status,reviewed_tag,review_status,review_note,domain_status,analysis_included
2026-05-21/bee-22,2026-05-21,22,aruco:120,aruco,120,assigned,2,1;2,aruco:120,decoder_confirmed_with_competing_ids;decoder_conflict,decoder_competition_or_disagreement,aruco:120,assigned,aruco:120,confirmed,,in_domain,true
2026-05-21/bee-23,2026-05-21,23,aruco:131,aruco,131,assigned,2,1;2,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:131,confirmed,,in_domain,true
2026-05-21/bee-24,2026-05-21,24,aruco:130,aruco,130,assigned,1,1,aruco:130,decoder_conflict,decoder_competition_or_disagreement,aruco:130,assigned,aruco:130,confirmed,,in_domain,true
2026-05-21/bee-25,2026-05-21,25,aruco:88,aruco,88,assigned,2,1;2,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:88,confirmed,,in_domain,true
2026-05-21/bee-26,2026-05-21,26,aruco:99,aruco,99,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:99,confirmed,,in_domain,true
2026-05-21/bee-27,2026-05-21,27,aruco:127,aruco,127,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:127,confirmed,,in_domain,true
2026-05-21/bee-28,2026-05-21,28,aruco:122,aruco,122,assigned,1,1,aruco:109,decoder_conflict,decoder_competition_or_disagreement,aruco:109,assigned,aruco:122,confirmed,,in_domain,true
2026-05-21/bee-29,2026-05-21,29,aruco:71,aruco,71,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:71,confirmed,,in_domain,true
2026-05-21/bee-30,2026-05-21,30,aruco:109,aruco,109,assigned,2,1;2,,no_tag_decoded,decoder_did_not_confirm_all_images,,missing_tag,aruco:109,confirmed,,in_domain,true
2026-05-21/bee-31,2026-05-21,31,aruco:83,aruco,83,assigned,1,1,aruco:83,decoder_conflict,decoder_competition_or_disagreement,aruco:83,assigned,aruco:83,confirmed,,in_domain,true
2026-05-21/bee-32,2026-05-21,32,aruco:91,aruco,91,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:91,confirmed,,in_domain,true
2026-05-21/bee-33,2026-05-21,33,,,,outside_domain,1,1,aruco:458,decoder_conflict,decoder_competition_or_disagreement,aruco:458,assigned,,,,outside_domain,false
2026-05-21/bee-34,2026-05-21,34,aruco:112,aruco,112,assigned,1,1,aruco:3619,decoder_conflict,decoder_competition_or_disagreement;same_tag_used_by_multiple_bee_numbers_same_day,aruco:3619,assigned,aruco:112,confirmed,,in_domain,true
2026-05-28/bee-1,2026-05-28,1,aruco:92,aruco,92,assigned,1,1,aruco:92,decoder_conflict,decoder_competition_or_disagreement,aruco:92,assigned,aruco:92,confirmed,,in_domain,true
2026-05-28/bee-2,2026-05-28,2,aruco:107,aruco,107,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:107,confirmed,,in_domain,true
2026-05-28/bee-3,2026-05-28,3,aruco:87,aruco,87,assigned,1,1,aruco:87,decoder_confirmed,,aruco:87,assigned,aruco:87,confirmed,,in_domain,true
2026-05-28/bee-4,2026-05-28,4,aruco:93,aruco,93,assigned,1,1,aruco:93,decoder_confirmed,,aruco:93,assigned,aruco:93,confirmed,,in_domain,true
2026-05-28/bee-5,2026-05-28,5,aruco:125,aruco,125,assigned,1,1,aruco:125,decoder_confirmed,,aruco:125,assigned,aruco:125,confirmed,,in_domain,true
2026-05-28/bee-6,2026-05-28,6,aruco:86,aruco,86,assigned,1,1,,no_tag_decoded,decoder_did_not_confirm_all_images,,missing_tag,aruco:86,confirmed,,in_domain,true
2026-05-28/bee-7,2026-05-28,7,aruco:81,aruco,81,assigned,1,1,,no_tag_decoded,decoder_did_not_confirm_all_images,,missing_tag,aruco:81,confirmed,,in_domain,true
2026-05-28/bee-8,2026-05-28,8,aruco:102,aruco,102,assigned,1,1,aruco:102,decoder_conflict,decoder_competition_or_disagreement,aruco:102,assigned,aruco:102,confirmed,,in_domain,true
2026-05-28/bee-9,2026-05-28,9,aruco:117,aruco,117,assigned,1,1,aruco:117,decoder_conflict,decoder_competition_or_disagreement,aruco:117,assigned,aruco:117,confirmed,,in_domain,true
2026-05-28/bee-10,2026-05-28,10,aruco:132,aruco,132,assigned,1,1,aruco:132,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:132,assigned,aruco:132,confirmed,,in_domain,true
2026-05-28/bee-11,2026-05-28,11,aruco:77,aruco,77,assigned,2,1;2,aruco:2272,decoder_conflict;decoder_no_confirmation,decoder_competition_or_disagreement;decoder_did_not_confirm_all_images,aruco:2272,assigned,aruco:77,confirmed,,in_domain,true
2026-05-28/bee-12,2026-05-28,12,aruco:78,aruco,78,assigned,1,1,aruco:78,decoder_conflict,decoder_competition_or_disagreement,aruco:78,assigned,aruco:78,confirmed,,in_domain,true
2026-05-28/bee-13,2026-05-28,13,aruco:123,aruco,123,assigned,1,1,aruco:123,decoder_confirmed,,aruco:123,assigned,aruco:123,confirmed,,in_domain,true
2026-05-28/bee-14,2026-05-28,14,aruco:94,aruco,94,assigned,1,1,aruco:94,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:94,assigned,aruco:94,confirmed,,in_domain,true
2026-05-28/bee-15,2026-05-28,15,aruco:76,aruco,76,assigned,1,1,aruco:76,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:76,assigned,aruco:76,confirmed,,in_domain,true
2026-05-28/bee-16,2026-05-28,16,aruco:101,aruco,101,assigned,1,1,aruco:101,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:101,assigned,aruco:101,confirmed,,in_domain,true
2026-05-28/bee-17,2026-05-28,17,aruco:114,aruco,114,assigned,1,1,aruco:114,decoder_conflict,decoder_competition_or_disagreement,aruco:114,assigned,aruco:114,confirmed,,in_domain,true
2026-05-28/bee-18,2026-05-28,18,aruco:108,aruco,108,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:108,confirmed,,in_domain,true
2026-05-28/bee-19,2026-05-28,19,aruco:84,aruco,84,assigned,1,1,aruco:84,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:84,assigned,aruco:84,confirmed,,in_domain,true
2026-05-28/bee-20,2026-05-28,20,aruco:74,aruco,74,assigned,1,1,aruco:74,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:74,assigned,aruco:74,confirmed,,in_domain,true
2026-05-28/bee-21,2026-05-28,21,aruco:70,aruco,70,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:70,confirmed,,in_domain,true
2026-05-28/bee-22,2026-05-28,22,aruco:68,aruco,68,assigned,1,1,aruco:68,decoder_conflict,decoder_competition_or_disagreement,aruco:68,assigned,aruco:68,confirmed,,in_domain,true
2026-05-28/bee-23,2026-05-28,23,aruco:118,aruco,118,assigned,1,1,aruco:118,decoder_confirmed,,aruco:118,assigned,aruco:118,confirmed,,in_domain,true
2026-05-28/bee-24,2026-05-28,24,aruco:111,aruco,111,assigned,1,1,aruco:111,decoder_confirmed_with_competing_ids,decoder_competition_or_disagreement,aruco:111,assigned,aruco:111,confirmed,,in_domain,true
